 TIME                    	Q                        	
  +7.5930000000000000E+03	  +3.6896871656267940E+03	
  +7.5940000000000000E+03	  +3.6896499776374339E+03	
  +7.5950000000000000E+03	  +3.6896127954924591E+03	
  +7.5960000000000000E+03	  +3.6895756191859673E+03	
  +7.5970000000000000E+03	  +3.6895384487236161E+03	
  +7.5980000000000000E+03	  +3.6895012840998861E+03	
  +7.5990000000000000E+03	  +3.6894641253102259E+03	
  +7.6000000000000000E+03	  +3.6894269723530415E+03	
  +7.6010000000000000E+03	  +3.6893898252248700E+03	
  +7.6020000000000000E+03	  +3.6893526839351998E+03	
  +7.6030000000000000E+03	  +3.6893155484732142E+03	
  +7.6040000000000000E+03	  +3.6892784188449045E+03	
  +7.6050000000000000E+03	  +3.6892412950373541E+03	
  +7.6060000000000000E+03	  +3.6892041770561036E+03	
  +7.6070000000000000E+03	  +3.6891670648917093E+03	
  +7.6080000000000000E+03	  +3.6891299585607194E+03	
  +7.6090000000000000E+03	  +3.6890928580396999E+03	
  +7.6100000000000000E+03	  +3.6890557633438539E+03	
  +7.6110000000000000E+03	  +3.6890186744659859E+03	
  +7.6120000000000000E+03	  +3.6889815913942043E+03	
  +7.6130000000000000E+03	  +3.6889445141477836E+03	
  +7.6140000000000000E+03	  +3.6889074427037008E+03	
  +7.6150000000000000E+03	  +3.6888703770771881E+03	
  +7.6160000000000000E+03	  +3.6888333172571420E+03	
  +7.6170000000000000E+03	  +3.6887962632420990E+03	
  +7.6180000000000000E+03	  +3.6887592150315245E+03	
  +7.6190000000000000E+03	  +3.6887221726344824E+03	
  +7.6200000000000000E+03	  +3.6886851360326973E+03	
  +7.6210000000000000E+03	  +3.6886481052333652E+03	
  +7.6220000000000000E+03	  +3.6886110802266280E+03	
  +7.6230000000000000E+03	  +3.6885740610257699E+03	
  +7.6240000000000000E+03	  +3.6885370476185976E+03	
  +7.6250000000000000E+03	  +3.6885000400069252E+03	
  +7.6260000000000000E+03	  +3.6884630381936840E+03	
  +7.6270000000000000E+03	  +3.6884260421639365E+03	
  +7.6280000000000000E+03	  +3.6883890519260635E+03	
  +7.6290000000000000E+03	  +3.6883520674717306E+03	
  +7.6300000000000000E+03	  +3.6883150888102414E+03	
  +7.6310000000000000E+03	  +3.6882781159314345E+03	
  +7.6320000000000000E+03	  +3.6882411488408152E+03	
  +7.6330000000000000E+03	  +3.6882041875251434E+03	
  +7.6340000000000000E+03	  +3.6881672319933491E+03	
  +7.6350000000000000E+03	  +3.6881302822377420E+03	
  +7.6360000000000000E+03	  +3.6880933382670351E+03	
  +7.6370000000000000E+03	  +3.6880564000589211E+03	
  +7.6380000000000000E+03	  +3.6880194676338465E+03	
  +7.6390000000000000E+03	  +3.6879825409778678E+03	
  +7.6400000000000000E+03	  +3.6879456200930995E+03	
  +7.6410000000000000E+03	  +3.6879087049791824E+03	
  +7.6420000000000000E+03	  +3.6878717956354985E+03	
