 TIME                    	Tout                     	
  +1.3400000000000000E+02	  -1.8526722682176939E+00	
  +1.3500000000000000E+02	  -1.8536509624295210E+00	
  +1.3600000000000000E+02	  -1.8546165856123993E+00	
  +1.3700000000000000E+02	  -1.8555691944213306E+00	
  +1.3800000000000000E+02	  -1.8565088437202648E+00	
  +1.3900000000000000E+02	  -1.8574355867895784E+00	
  +1.4000000000000000E+02	  -1.8583494755796699E+00	
  +1.4100000000000000E+02	  -1.8592505608910632E+00	
  +1.4200000000000000E+02	  -1.8601388925925701E+00	
  +1.4300000000000000E+02	  -1.8610145198152654E+00	
  +1.4400000000000000E+02	  -1.8618774911356835E+00	
  +1.4500000000000000E+02	  -1.8627278547610751E+00	
  +1.4600000000000000E+02	  -1.8635656586887248E+00	
  +1.4700000000000000E+02	  -1.8643909508879015E+00	
  +1.4800000000000000E+02	  -1.8652037794522274E+00	
  +1.4900000000000000E+02	  -1.8660041927311810E+00	
  +1.5000000000000000E+02	  -1.8667922394993806E+00	
  +1.5100000000000000E+02	  -1.8675679690774072E+00	
  +1.5200000000000000E+02	  -1.8683314314539627E+00	
  +1.5300000000000000E+02	  -1.8690826774290876E+00	
  +1.5400000000000000E+02	  -1.8698217586936026E+00	
  +1.5500000000000000E+02	  -1.8705487279737616E+00	
  +1.5600000000000000E+02	  -1.8712636391083199E+00	
  +1.5700000000000000E+02	  -1.8719665471343769E+00	
  +1.5800000000000000E+02	  -1.8726575084088442E+00	
  +1.5900000000000000E+02	  -1.8733365806405333E+00	
  +1.6000000000000000E+02	  -1.8740038230126868E+00	
  +1.6100000000000000E+02	  -1.8746592962047348E+00	
  +1.6200000000000000E+02	  -1.8753030624871179E+00	
  +1.6300000000000000E+02	  -1.8759351857500204E+00	
  +1.6400000000000000E+02	  -1.8765557315803676E+00	
  +1.6500000000000000E+02	  -1.8771647672626393E+00	
  +1.6600000000000000E+02	  -1.8777623618623327E+00	
  +1.6700000000000000E+02	  -1.8783485862114042E+00	
  +1.6800000000000000E+02	  -1.8789235129703821E+00	
  +1.6900000000000000E+02	  -1.8794872166207481E+00	
  +1.7000000000000000E+02	  -1.8800397734896639E+00	
  +1.7100000000000000E+02	  -1.8805812617668574E+00	
  +1.7200000000000000E+02	  -1.8811117614864583E+00	
  +1.7300000000000000E+02	  -1.8816313545464047E+00	
  +1.7400000000000000E+02	  -1.8821401246919667E+00	
  +1.7500000000000000E+02	  -1.8826381575123055E+00	
  +1.7600000000000000E+02	  -1.8831255404107710E+00	
  +1.7700000000000000E+02	  -1.8836023626065161E+00	
  +1.7800000000000000E+02	  -1.8840687151005733E+00	
  +1.7900000000000000E+02	  -1.8845246906392186E+00	
  +1.8000000000000000E+02	  -1.8849703837106611E+00	
  +1.8100000000000000E+02	  -1.8854058904834159E+00	
  +1.8200000000000000E+02	  -1.8858313087802983E+00	
  +1.8300000000000000E+02	  -1.8862467380446761E+00	
  +1.8400000000000000E+02	  -1.8866522792936919E+00	
  +1.8500000000000000E+02	  -1.8870480350605670E+00	
  +1.8600000000000000E+02	  -1.8874341093640050E+00	
  +1.8700000000000000E+02	  -1.8878106076465913E+00	
  +1.8800000000000000E+02	  -1.8881776367290124E+00	
  +1.8900000000000000E+02	  -1.8885353047530975E+00	
  +1.9000000000000000E+02	  -1.8888837211149005E+00	
  +1.9100000000000000E+02	  -1.8892229964299769E+00	
  +1.9200000000000000E+02	  -1.8895532424500221E+00	
  +1.9300000000000000E+02	  -1.8898745720124968E+00	
  +1.9400000000000000E+02	  -1.8901870989825373E+00	
  +1.9500000000000000E+02	  -1.8904909381831896E+00	
  +1.9600000000000000E+02	  -1.8907862053335132E+00	
  +1.9700000000000000E+02	  -1.8910730169872374E+00	
  +1.9800000000000000E+02	  -1.8913514904638884E+00	
  +1.9900000000000000E+02	  -1.8916217437848268E+00	
  +2.0000000000000000E+02	  -1.8918838956038797E+00	
